,BLS_Period_1_0,BLS_Tc_1_0,BLS_SN_1_0,BLS_SR_1_0,BLS_SDE_1_0,BLS_Depth_1_0,BLS_Qtran_1_0,BLS_Qingress_1_0,BLS_OOTmag_1_0,BLS_i1_1_0,BLS_i2_1_0,BLS_deltaChi2_1_0,BLS_fraconenight_1_0,BLS_Npointsintransit_1_0,BLS_Ntransits_1_0,BLS_Npointsbeforetransit_1_0,BLS_Npointsaftertransit_1_0,BLS_Rednoise_1_0,BLS_Whitenoise_1_0,BLS_SignaltoPinknoise_1_0,Ids,Depth,Catalog_Period,Catalog_Epoch,SNR,CatalogY,ManuleY,CombinedY,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
13729,7.86024347,2457828.00659,3.1642,0.00023,3.17584,0.00061,0.18126,0.13641,5.19683,0.03478,0.21604,-0.18682,0.53837,136.0,2.0,82.0,88.0,0.0001,0.00082,6.02326,13730,0.0,-1.0,0.0,0.0,0.0,0.0,0,-1.67849660129,-0.0206051791389,0.0588615217513,0.00576914884453,-0.0203857543635,-0.016586978816,-0.00475392539322,-0.0310144609341,0.0587098645671,-0.00235622977146,0.0655997130931,0.0319673820522,-0.0611576258953,-0.0411956762585,0.0442067660273,-0.0904904008494,-0.00862493477545,-0.0294347583072,-0.0299496420157,-0.0357885857925
13731,5.1160197,2457827.73643,3.2391,0.00037,3.51006,0.00131,0.10376,0.14232,6.79597,0.08799,0.19175,-6.80036,0.55452,51.0,2.0,48.0,51.0,0.0,0.0016,5.85925,13732,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.501292285404,-0.00558886926772,0.02434261008,0.00766782251694,-0.0608698876399,0.00340958393432,-0.0338191385787,-0.0220624351358,-0.00810227250448,-0.00742690189833,-0.117923481613,-0.0525485228942,0.0368929953459,0.0613330822421,0.00135850627497,0.0705276140626,0.0775369421932,-0.262354934947,0.00461328833032,0.0388499237351
13733,1.6367386,2457828.54747,3.57915,0.00032,3.88296,0.00114,0.09246,0.23469,6.44118,0.88651,0.97896,-7.68507,0.23658,44.0,6.0,43.0,49.0,0.00022,0.00139,5.00386,13734,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.762500642971,0.0145663305031,-0.00337098354094,-0.0645307094944,-0.00675853384611,-0.0263708046627,-0.0294875055139,-0.0289050665129,0.0690813355635,-0.0370367314134,-0.0169801561343,0.0199238000654,-0.0558693815864,0.0133681777172,-0.0387900739664,0.0583784443356,-0.024191843082,0.0788736944408,-0.013448571327,0.118638515329
13734,1.75691132,2457827.32662,3.1874,0.00053,3.27573,0.00478,0.01272,0.18412,7.432,0.16769,0.18041,-7.11572,0.37274,6.0,6.0,6.0,6.0,0.00043,0.00251,4.59319,13735,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.0331287228017,-0.00336024089987,-0.0142975213597,-0.0900695045098,0.0994059437946,-0.0136957918647,0.00574476280995,0.0257609731442,-0.0249013832142,-0.182800416501,-0.643443980072,-0.166293432715,-0.080924045847,-0.181985177955,0.130595043427,-0.203995857669,0.104913554879,-0.114842744557,0.194530586737,-0.168428494302
13738,7.9576648,2457831.53865,2.69574,0.00553,2.69574,0.01948,0.22814,-0.08017,6.68919,0.45366,0.6818,-75.33373,0.54334,87.0,1.0,97.0,87.0,0.00314,0.00894,5.92876,13739,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.577344579009,0.00935550238688,0.0341012143739,0.974485041785,3.27238880411,-0.145657212831,0.0574709194114,-0.106895318606,-0.387901508922,0.310072263894,2.65857789073,1.4875488471,-0.903578008559,0.484108221457,-0.0875352964395,0.0214034048685,-0.153096071916,0.380197333401,-0.17425799075,0.120251597143
13740,1.59638575,2457827.61612,3.87852,0.00076,4.09622,0.00796,0.01604,0.20577,7.93325,0.36488,0.38092,-22.19301,0.36629,8.0,6.0,8.0,7.0,0.00029,0.00339,6.60001,13741,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.335895832663,0.00281245939813,0.0292422378813,-0.0331320288902,0.135972303751,-0.00880567553076,-0.0711454420082,0.0254461014425,0.128970265843,0.0100788305582,-0.388979398437,0.0280281741469,0.0162025442193,0.0140151069099,-0.0555698004354,-0.182838444259,0.257063123274,0.0712455129132,-0.0269327799118,-0.119339703836
13741,6.80363658,2457828.28538,4.05662,0.00034,4.53122,0.001,0.11472,0.18028,5.84034,0.1285,0.24322,-9.88958,0.4532,76.0,2.0,74.0,74.0,0.0001,0.00148,5.42415,13742,0.0,-1.0,0.0,0.0,0.0,0.0,0,-1.20478779812,-0.0078125423113,0.0453595561656,-0.0161929339308,-0.015599583609,0.000351514553794,0.0588830474083,-0.0284641134836,0.0278498754723,0.0102458775966,-0.0630762926443,0.0013011457259,-0.0138527420274,0.0705783752149,0.00459545034822,-0.112921340451,-0.361178843656,-0.228842093836,0.0986690861012,0.0423531225867
13756,6.85464578,2457828.32268,3.6013,0.00057,4.03363,0.00199,0.08663,0.17356,6.46732,0.1466,0.23324,-3.8328,0.47081,56.0,2.0,58.0,58.0,0.00035,0.00252,4.7941,13757,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.743183517013,-0.0287550687131,0.0055779458467,0.00606927004157,-0.12751771676,-0.0185393486996,-0.00548571422971,-0.040449965024,-0.0479782629914,0.0423443334011,0.183492302372,0.0146486911593,-0.110605502593,-0.0403858478592,0.0872545646348,-0.0975017934156,-0.00576170481021,-0.304181249317,-0.0816452493757,0.0912505666152
13757,2.21586632,2457827.43352,4.76134,0.00158,5.14272,0.00981,0.02344,0.0313,8.87532,0.17452,0.19796,-20.82168,0.42903,13.0,5.0,12.0,11.0,0.0,0.00617,5.73071,13758,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.02946309825,0.0297538470267,-0.00192662351551,-0.0635365876809,-0.111509943289,-0.0503863668835,0.0160518727294,0.191584591642,0.0682188163289,-0.0541915160837,0.0996968213516,0.011394314349,-0.343263728747,-0.0866235032802,0.330467168038,0.351831596992,-0.248825998584,0.123418461395,0.000754024787185,-0.387101561117
13761,2.34918659,2457827.39443,4.09879,0.00224,4.29961,0.02184,0.01197,0.16341,9.17751,0.15305,0.16502,-22.36917,0.39899,6.0,5.0,8.0,7.0,0.00108,0.0097,5.47515,13762,2.442e-05,0.564555,2545964.552,0.0546047800105,0.0,0.0,0,1.25195735207,0.0244719324139,-0.116115668784,-0.333004899382,0.107862388523,-0.353489813193,-0.12736590181,-0.214665297274,-2.11818099781e-05,0.22126659395,-0.47731484376,0.429616564006,0.527841886275,0.060210061369,-0.380749310352,-0.24990767964,0.0756976058601,-0.0363402985516,0.577690389519,0.0615590683035
