,P17,P5,P4,P12,BLS29,P18,BLS3,BLS2,P11,BLS0,BLS14,Period,BLS1,BLS28,P13,BLS9,BLS27,BLS19,P1,BLS22,P6,BLS26,BLS23,P8,BLS25,BLS6,P0,BLS12,BLS21,BLS10,Y,IDs
684,0.00177,0.028,0.01688,11.0,0.322894352521,31.72044,-0.626336985208,0.0814869145969,1.0,1.32057725702,-1.16179270097,7.96059466,-0.279103274805,-0.576829349823,1.0,-0.827335195303,0.31014992943,0.198789566847,5.23359,-0.277513816745,0.12642,-0.395688765631,0.114406706324,0.58729,-0.26083353821,-0.102533521236,4.80747021762,0.37821413419,-0.63072905264,-0.0210922607128,1.0,1684
559,0.00275,0.01435,0.01297,8.0,0.327269522862,12.253,-1.78580774507,-0.862719855334,0.36167,-1.44037769867,-0.921642591107,2.90094971,-1.19026721236,-1.58647719676,4.0,-0.932207834479,1.09499630372,-0.318401174963,5.60768,0.737789962786,0.02605,0.807128339137,-1.63611958479,0.23961,0.0189339841355,-0.393560706305,0.736732331887,-0.417697410951,0.289651095109,-1.39118811197,1.0,1559
629,0.00172,0.05325,0.01786,24.0,-0.926111560319,50.75688,0.534108974012,2.06840439917,0.35051,0.196805251471,-0.0887088847332,2.99141828,-1.19922833984,-0.0702516134425,3.0,0.846770115789,0.335588207544,0.183551077942,6.10711,-0.57235727628,0.3524,-0.197939233659,0.227809388858,0.69205,0.229622042448,-1.11320722742,2.17070805359,0.438427082995,-0.397383205787,0.73737555005,1.0,1629
192,0.00229,0.0553,0.00933,38.0,0.272111064106,9.22637,-0.518753856567,0.435420597084,0.99915,0.582126139823,0.214280023685,7.35766907,-0.061856790104,0.0150867279911,2.0,0.175632288923,-0.229049181184,0.921564546342,2.79452,0.178932205588,0.20325,-0.93476454353,0.0137623256566,0.20962,-0.30289056848,-0.387687768305,1.76659321015,-0.910079931345,-0.805869318384,0.0273517841246,1.0,1192
835,0.00578,0.03578,0.01634,19.0,0.0188571552089,12.3305,-0.472106490536,0.0170203908034,0.60653,0.364030666917,-0.000937638518949,5.25156564,0.529318643013,0.758680904176,2.0,-1.73365348204,1.02704229923,-0.0772762664338,6.63832,0.500132276069,-0.02146,-0.699207422413,1.74750224257,0.54715,-0.451786416916,-0.040581517269,2.98818158135,0.744240082773,-0.77411416728,-0.430262689179,1.0,1835
763,0.00466,0.02006,0.01631,9.0,0.799174874608,9.87766,-0.330078071743,0.616521095809,0.39497,-0.275745608931,0.31792202657,3.38715578,1.98995466043,-0.298498086343,3.0,0.468641969627,-0.654955847308,-0.734892199208,5.74346,-1.87286018941,0.12116,-0.983111721201,1.01371123112,0.14488,1.64830521854,0.0917369509679,0.545525163524,0.258582371783,-1.58086325877,-0.916108006411,1.0,1763
707,0.0038,0.00998,0.01944,5.0,1.67416577454,11.45568,-0.987987133439,0.00562020471076,0.2892,-1.33905966325,0.743734824197,0.51094552,-1.09677881639,1.03146844437,5.0,0.622496119349,1.06618593316,-0.112626835084,5.41213,-0.0392180433332,0.2146,-0.174880517865,2.7141173672,0.11511,-0.152630781143,1.72131783447,0.0821984419264,1.17776091415,0.933968048268,2.35418346783,1.0,1707
359,0.00251,0.01055,0.01691,6.0,-2.21317965015,15.18933,-1.61476484069,-0.76572600921,0.45207,-1.45070567694,0.303380545432,2.89937264,-1.17504450471,0.038659807183,4.0,-1.30559433966,0.748492495659,-0.0817345004332,4.7451,1.16600308217,0.32212,0.562084596514,-1.17479730998,0.16055,1.33268287822,1.29245929934,0.501613043496,-0.378684479682,-0.137237647007,1.61050849985,1.0,1359
9,0.00271,0.01007,0.01427,5.0,-1.67407692349,10.71686,-1.88942597817,-0.763399632225,0.46304,-1.4144383668,0.330110300704,2.90016096,-1.23730676054,-0.471780725421,4.0,-0.633391371512,0.402284223844,-0.293683429293,4.18901,0.981774501284,0.12091,0.160773993062,-0.572459286173,0.14479,1.32130099586,0.95284454545,0.455344609263,-0.0819997449997,-0.347384144664,0.879615378566,1.0,1009
723,0.00303,0.05865,0.02165,26.0,-0.327721710582,36.47806,0.669579255174,1.97810421415,0.34555,0.177816239322,-0.42740726847,2.98940619,-1.13380938709,0.968963425124,3.0,0.473610168256,-0.222858990843,-0.64424006998,6.53049,-0.70654336787,0.51741,-0.551646127756,0.0658783230918,0.41544,0.693868395463,-1.02882031132,1.35042541986,0.421440767817,-0.329109152897,0.738905539963,1.0,1723
277,0.00165,0.04481,0.01414,27.0,0.579833291973,29.48179,0.565987217415,1.54042279594,0.33085,0.179170352312,-1.44495442243,3.06007367,-0.590885357565,-2.58304600953,4.0,-0.108633219222,0.732065443749,0.72883795118,6.08458,-2.08600413459,0.24213,-0.587137600612,0.888590539942,0.16349,-0.675165005841,3.85226286785,0.589693408796,-0.922720125135,0.100310507537,-0.301291582206,1.0,1277
754,0.00479,0.01743,0.01204,8.0,0.606056401149,7.1068,-0.599018774658,-0.845384105993,0.44321,-1.64365869658,-0.00988260887103,0.5571425,-0.362352765323,-1.78238738838,8.0,-0.839638628636,-0.0770068255418,-1.46557257605,4.03858,0.146067630628,0.15555,-0.856103110475,2.14930687865,0.46737,1.1005563514,-0.83491780572,0.286078857148,-0.694856691557,-1.46399759733,1.85779622175,1.0,1754
804,0.00671,0.01123,0.01949,7.0,1.94151522256,7.68434,-0.499618830742,-0.0504912645669,0.28526,-1.34509972271,-0.983817461775,0.51103854,-0.703184695928,-2.03285465237,7.0,-0.0377215347889,1.14794894311,1.15664546015,4.10278,0.794987705557,0.21699,1.40584773987,-1.26760953499,0.15895,1.21548917953,0.971480682236,0.104930146947,0.57437880627,-1.30930246721,1.56644645038,1.0,1804
599,0.00084,0.05737,0.01867,19.0,0.395076251326,82.01134,-0.438132921727,0.133686718992,0.96848,1.28944919491,-0.848594546541,6.91143768,-0.302545601266,-0.204472023596,1.0,-0.58760435718,-0.215789345958,-0.286948463707,5.20637,0.176161742126,0.17411,-0.802873791242,0.199453610612,0.59646,-0.40508811705,-0.226704110248,4.34152456489,-0.206372530634,-0.372196723716,-0.194740365205,1.0,1599
70,0.00128,0.0552,0.01815,24.0,-0.77728796206,69.58335,0.588733569,2.01846531678,0.33721,0.245705721328,-0.219794135448,2.99679714,-1.10240368529,0.0527542793363,3.0,0.769063197905,0.156075367501,0.478050901162,5.88619,-0.578776698397,0.37419,-0.0827729906822,-0.255884630064,0.68104,0.621167959543,-1.05155075322,2.14449660977,0.321514497167,-0.259109109596,0.941644322067,1.0,1070
472,0.00249,0.01558,0.01758,9.0,0.791991162014,13.67954,1.05258702557,2.04458083026,0.53578,0.0581065089885,0.0394411168013,6.15880641,-0.88615916667,-1.36867471025,2.0,-0.571754322525,0.875439580194,-0.557194131607,5.17386,-0.303778476787,0.06603,-0.726392634355,1.40124268295,0.59876,1.03186406822,1.1724470586,3.75643064114,0.319370775074,-0.104721823628,-0.412768769644,1.0,1472
600,0.00271,0.01219,0.01321,6.0,-0.67184409084,11.38366,-1.59730066244,-0.733829554158,0.42303,-1.53664831827,-0.275386108231,2.90000326,-1.19799142839,0.506761389203,4.0,-0.329022556322,0.0414510582529,-0.645217978268,5.27551,-1.69844219587,0.08337,0.406225528847,0.321586058168,0.13364,1.17998234612,0.547543311982,0.426065784378,-0.586736934074,-0.936552458787,1.20810740539,1.0,1600
396,0.00025,0.04864,0.01828,19.0,0.157314054858,195.30176,-0.500140293106,0.141326918972,0.66529,1.33264286747,-0.751010808689,7.98204023,-0.281434899034,-0.3434605921,1.0,-0.650337715134,-0.380135871974,-0.20833224732,5.21739,0.268716700182,0.14946,-0.76907660947,0.175726475333,0.5296,-0.342440621665,-0.192755293384,4.44226553618,-0.155803359896,-0.411070393701,0.0246602124036,1.0,1396
