,P14,P5,P4,P1,P12,BLS1,BLS3,P17,P10,P18,P6,P15,BLS0,P11,P8,BLS2,BLS5,Period,BLS16,P0,BLS10,P3,BLS6,BLS11,BLS25,BLS26,BLS29,BLS4,BLS14,P13,Y,IDs
1341,33.0,0.04939,0.00104,3.05984,37.0,0.0550220503912,-0.449480590659,0.00027,-2177.18133,9.72427,0.22788,36.0,0.60166271105,0.5026,0.03687,0.319030599813,-0.982609912099,7.77604759,0.0165467442588,0.49959538186,0.245786081339,3.05878,-0.296721237886,-0.164307619697,0.165686416666,-0.631703551821,-0.13363198666,-0.984926642773,0.371820637119,2.0,1.0,2341
1865,27.0,0.05622,0.01018,3.80016,26.0,0.595167720617,0.807767300481,0.00897,-26.24479,5.7495,0.20134,26.0,-0.820663375921,0.19733,0.88965,0.105499287603,-0.431999853818,0.60783938,-2.91638081482,0.578683920228,-0.0166092540032,3.98364,0.618351487305,-1.03464215765,1.74658810021,-0.403510922915,-2.6951249308,-0.21048031769,-0.679847333803,16.0,1.0,2865
1044,41.0,0.05409,0.00116,3.50822,41.0,-0.0177484722248,-0.509584785429,0.00025,-359784.29224,11.40406,0.22769,41.0,0.729900711537,0.99502,0.14806,0.287734717311,-0.833985614953,7.84582794,-0.142389568361,1.3946918109,0.0829698884252,3.29841,-0.185017960213,-0.117089986036,-0.0540640803096,-0.54014983808,0.166630560231,-0.717145543018,0.421759005802,2.0,1.0,2044
1802,17.0,0.03562,0.00863,4.7135,18.0,0.346116638312,1.48113963538,0.00595,-26.53979,6.14973,0.17543,16.0,-1.39302232503,0.24568,0.79697,-0.155058342432,-0.177384480452,0.75181636,-0.471462547692,0.633402355987,0.36277109244,5.1457,-1.11254103216,-0.583798791236,-0.328123029056,2.09358908927,1.06562690332,-0.591861108051,-0.650908242425,13.0,1.0,2802
1930,20.0,0.04045,0.0144,4.11897,20.0,-0.0391816745868,1.22126533881,0.01344,-22.5841,4.792,0.15086,20.0,-1.28442057431,0.20805,0.56457,0.220449395155,-0.370912730876,0.78545403,-0.616190682166,0.480159480814,-0.489011362547,4.40693,-0.241590197047,0.523083877228,-1.84106863413,0.203012270336,-1.32184512497,-0.483973811659,-0.0794678254556,13.0,1.0,2930
1088,21.0,0.04023,0.00213,6.2553,21.0,0.453718548314,-0.461888169415,0.0001,-319662.55339,30.25693,0.1311,20.0,0.709398390493,0.54664,0.54128,0.293130460083,0.372783264538,5.27233184,0.659219390852,2.98069496653,-0.478455266691,5.5605,0.214124418169,0.249915594576,-0.198282633863,-0.268069132115,0.0917462183521,-1.51423977521,0.0760019583591,2.0,1.0,2088
1033,10.0,0.02719,0.00224,5.47296,11.0,-0.0590883470568,-0.719310309451,0.0001,-407864.51128,23.93668,0.13908,10.0,1.47064918938,1.0,0.61841,0.228770295261,1.51129242068,7.94162845,-0.341709165853,5.03996281654,0.141057610142,3.78635,-0.00789327663972,-0.817271236317,-0.1514987296,-0.0536032267199,0.663433233582,-0.316322473879,-1.06663471873,1.0,1.0,2033
1645,17.0,0.05532,0.00252,5.26562,16.0,-0.0685484771302,0.571021337493,0.00117,-65.37981,8.60177,0.05482,21.0,0.720433233561,1.0,0.89973,-0.585730162304,-0.524750786788,6.2155094,0.0799561991924,5.78501434982,0.624026104283,4.44002,-0.760373015246,0.303902675779,-2.74930196979,-0.628371480633,-0.441055109395,0.770100368922,-2.2179945709,1.0,1.0,2645
1232,24.0,0.0471,0.00204,6.27884,24.0,0.372917706967,-0.601369698391,0.00013,-26397.05787,32.83273,0.23688,24.0,0.66703008014,0.52133,0.42437,0.422432744686,0.772495228173,5.2985217,0.194197714826,2.39416026245,-0.468952421553,5.41405,0.0844512891703,0.142502707191,-0.496110904637,-0.295188349402,0.0622858201898,-1.85201119381,0.0509412349233,2.0,1.0,2232
1767,4.0,0.01204,0.00917,4.43672,8.0,0.477734385912,1.13593932148,0.00389,-24.86576,6.62841,0.21511,4.0,-1.12979208724,0.33501,0.22924,-0.0796987540761,0.283438648105,2.43666734,-0.82642628711,0.594087164275,1.9195457108,4.77429,-0.530158657253,-0.305318394318,-3.82619693153,3.86453565882,0.474628217217,-0.348613660184,-0.454403586447,4.0,1.0,2767
1036,21.0,0.03933,0.00199,6.59609,20.0,-0.190494690175,-0.402569323664,0.0001,-623373.40822,29.04853,0.12297,22.0,0.952047368053,0.50612,0.0457,-0.217884190741,1.32869935696,5.52980943,0.124381264763,0.382285583015,0.211277313933,5.27064,0.998498133163,0.354622728443,0.548519505209,-0.637098546251,-0.608712322545,-1.25289662995,-0.600054665772,2.0,1.0,2036
1768,27.0,0.0543,0.00543,4.33423,27.0,0.141726275654,0.923917902146,0.00403,-26.57802,7.00551,0.34,27.0,-1.3334438801,0.19696,0.17545,-0.497999486621,0.975460021921,0.61279107,0.14688655136,0.144984393779,-1.66393120274,4.74772,0.0246716287427,-0.756488970304,-0.629059662995,0.251075487571,-2.38798003208,-0.593688560488,0.115833205784,17.0,1.0,2768
1459,6.0,0.01049,0.00164,4.55903,6.0,-0.934073574146,-1.10512807822,0.00049,-103.40596,7.46877,0.06642,5.0,-1.24690601883,0.58964,0.29967,-0.265290425289,-0.553448162223,3.90499063,0.00529145898877,1.2115115429,1.45966372645,4.6969,0.69780855247,-1.2327038571,-0.455461516079,1.73350493464,-1.36205266934,0.433690290357,2.08465122594,3.0,1.0,2459
1290,17.0,0.04638,0.00204,5.37122,18.0,-0.214836540321,-0.712628708569,0.00013,-10995.90941,21.77567,0.09493,17.0,1.53961815207,1.0,0.61883,0.155342262568,0.590219636429,7.83200188,-0.517842582542,5.04909946868,0.319140910712,3.68536,-0.166645012656,0.385918763655,-0.0425145209494,0.183139009228,0.000567091657736,-0.289485207797,-0.28568948125,1.0,1.0,2290
