# BJD-2454000 Mag Magerr KcMag KcMagerr
964.5126029588282 13.2642707824707 1.1919721146114e-04 13.1233854293823 1.1809416173492e-04
964.5330374469049 13.2639808654785 1.1917863594135e-04 13.1230230331421 1.1785203969339e-04
964.5534718348645 13.2642774581909 1.1919773533009e-04 13.1232767105103 1.1809803982032e-04
964.5739061222412 13.2642536163330 1.1919622193091e-04 13.1233615875244 1.1793966405094e-04
964.5943405102007 13.2640705108643 1.1918464588234e-04 13.1231317520142 1.1810114665423e-04
964.6147749978118 13.2640037536621 1.1917932715733e-04 13.1231279373169 1.1804103996838e-04
964.6352092851885 13.2640180587769 1.1918103700737e-04 13.1232299804688 1.1798600462498e-04
964.6556436722167 13.2640171051025 1.1918124073418e-04 13.1231746673584 1.1798719060607e-04
964.6760781598277 13.2639713287354 1.1917747906409e-04 13.1231508255005 1.1806842667283e-04
964.6965125468560 13.2640905380249 1.1918621021323e-04 13.1233291625977 1.1800199717982e-04
964.7169468337670 13.2640457153320 1.1918280506507e-04 13.1233024597168 1.1811135482276e-04
964.7373812207952 13.2642345428467 1.1919537064387e-04 13.1234397888184 1.1815770267276e-04
964.7578157074749 13.2641410827637 1.1918790551135e-04 13.1233501434326 1.1808386625489e-04
964.7782499943860 13.2640037536621 1.1918070231332e-04 13.1232900619507 1.1801467917394e-04
964.7986843809485 13.2639474868774 1.1917575466214e-04 13.1231431961060 1.1806690599769e-04
964.8191188676283 13.2640476226807 1.1918297241209e-04 13.1232805252075 1.1814176104963e-04
964.8395531540737 13.2636194229126 1.1915577488253e-04 13.1228733062744 1.1808604904218e-04
964.8599875401706 13.2640333175659 1.1918157542823e-04 13.1232261657715 1.1815119069070e-04
964.8804219267331 13.2637882232666 1.1916580115212e-04 13.1229705810547 1.1819068458863e-04
964.9008563128300 13.2640943527222 1.1918534437427e-04 13.1233386993408 1.1805512622232e-04
964.9212906989269 13.2637948989868 1.1916631774511e-04 13.1230716705322 1.1816818005173e-04
964.9417250845581 13.2640237808228 1.1918141535716e-04 13.1232471466064 1.1813904711744e-04
964.9621594706550 13.2638463973999 1.1916889343411e-04 13.1230449676514 1.1811266449513e-04
964.9825938562863 13.2639436721802 1.1917616939172e-04 13.1232471466064 1.1813004675787e-04
965.0030282419175 13.2638559341431 1.1917037772946e-04 13.1230926513672 1.1806772090495e-04
965.0234625274315 13.2640209197998 1.1918102973141e-04 13.1232671737671 1.1806310067186e-04
965.0438970131800 13.2640285491943 1.1918112431886e-04 13.1232299804688 1.1814617027994e-04
965.0643313983455 13.2639379501343 1.1917624215130e-04 13.1232137680054 1.1819707287941e-04
965.0847656838596 13.2641887664795 1.1919048120035e-04 13.1234045028687 1.1808056297014e-04
965.1052000685595 13.2636585235596 1.1915823415620e-04 13.1228675842285 1.1808588897111e-04
965.1256345538422 13.2636852264404 1.1915957293240e-04 13.1230373382568 1.1804550740635e-04
965.1460688388906 13.2637891769409 1.1916599760298e-04 13.1230239868164 1.1813779565273e-04
965.1665032235906 13.2639827728271 1.1917805386474e-04 13.1232423782349 1.1797717888840e-04
965.1869377084076 13.2637310028076 1.1916275252588e-04 13.1229591369629 1.1813972378150e-04
965.2073720931076 13.2638683319092 1.1917207302758e-04 13.1231155395508 1.1816344340332e-04
965.2278063776903 13.2637310028076 1.1916180665139e-04 13.1229619979858 1.1813076707767e-04
965.2482407619245 13.2638587951660 1.1917149095098e-04 13.1230173110962 1.1806169641204e-04
965.2686752462760 13.2638835906982 1.1917201481992e-04 13.1231956481934 1.1810340220109e-04
965.2891095303930 13.2639055252075 1.1917246592930e-04 13.1231861114502 1.1809621355496e-04
